;help;covid19;support;country;canada;across;together;working;spoke;work;business;safe;canadians;food;new;people;update;pandemic;world;thank;details;making;countries;workers;live;watch;emergency;taking;tune;businesses;steps;health;seniors;global;family;jobs;call;talked;giving;prime_minister;provinces;able;keeping;#canadahomeworkhelp;difficult;info;territories;announcing;click;protect;fight;apply;home;owners;focused;phone;morning;wage;economic;virus;benefit;crisis;youll;program;front;response;government;lives;helping;question;times;important;week;families;think;everyone;rent;testing;economies;kids;international;pay;child;whether;latest;communities;economy;increase;challenges;organizations;impacts;virtual;healthy;means;thanks;indigenous;measures;subsidy;canadian;thoughts
help;0;24;18;24;22;16;12;8;4;14;24;12;8;6;8;14;12;16;6;8;6;12;2;12;8;6;16;12;8;14;10;4;4;2;8;14;2;4;6;2;4;6;8;10;2;2;4;4;8;12;2;4;4;10;4;0;2;6;8;0;6;8;8;8;2;0;2;2;0;6;4;2;6;4;2;6;6;0;6;6;0;6;4;4;2;4;4;0;4;4;2;2;2;4;4;6;4;6;2;0
covid19;0;0;16;12;10;10;18;14;34;12;2;24;4;2;6;18;16;24;14;4;6;6;22;4;6;6;2;10;12;2;10;8;2;14;2;4;16;16;12;14;4;0;8;0;2;4;4;2;2;8;16;0;2;0;4;14;14;2;6;14;2;10;2;0;6;12;4;4;2;0;4;4;0;2;4;0;2;6;10;0;12;0;0;0;8;2;2;0;4;4;10;2;2;0;2;6;2;2;0;0
support;0;0;0;28;10;22;16;14;8;14;8;10;8;8;12;4;14;12;2;0;4;6;0;6;8;6;6;4;12;4;4;2;4;0;6;2;4;2;10;0;6;2;6;0;6;12;4;12;2;4;0;4;4;4;10;2;2;6;0;0;2;2;2;4;0;4;6;2;2;0;4;6;2;4;0;6;6;4;0;0;0;2;0;6;8;4;4;4;0;2;4;2;4;0;2;4;0;2;0;0
country;0;0;0;0;12;58;8;16;2;10;10;2;14;2;12;8;12;6;8;4;0;10;2;8;8;8;4;6;6;12;6;6;2;0;2;8;0;2;8;0;6;4;0;0;6;2;6;6;0;2;2;2;2;8;4;0;0;4;0;0;2;2;0;4;2;4;2;2;8;0;2;10;0;10;0;4;0;4;4;2;0;2;2;2;2;6;2;4;0;4;4;0;2;0;2;6;0;2;0;0
canada;0;0;0;0;0;12;6;8;8;10;16;4;0;2;2;4;4;4;6;2;4;4;10;6;6;6;22;4;4;4;2;4;0;2;4;6;4;0;2;2;6;4;4;0;0;4;6;2;4;2;4;6;0;8;0;0;2;8;0;2;10;0;6;4;2;2;0;0;2;0;0;2;4;4;0;0;10;2;2;2;0;4;6;0;2;2;2;4;0;0;2;0;0;0;0;0;2;6;0;0
across;0;0;0;0;0;0;4;12;0;6;8;2;10;2;12;4;10;4;6;4;0;6;2;8;6;6;4;6;6;8;6;6;2;0;0;2;0;0;8;0;4;4;0;0;4;2;4;6;0;0;2;2;2;8;2;0;0;2;0;0;2;2;0;2;2;4;2;2;8;0;2;10;0;8;0;4;0;4;2;2;0;2;2;2;2;4;2;2;0;4;4;0;0;0;2;6;0;2;0;0
together;0;0;0;0;0;0;0;16;16;12;2;8;8;4;4;10;2;4;12;0;4;0;12;2;4;4;2;4;2;6;6;2;0;6;6;4;10;8;0;6;4;2;2;0;4;4;4;2;0;2;2;0;6;0;4;4;6;2;8;4;0;4;2;0;0;0;4;2;0;0;4;2;4;0;2;0;4;6;6;0;4;4;2;2;0;0;4;2;4;0;4;4;0;2;2;0;2;0;0;0
working;0;0;0;0;0;0;0;0;8;4;2;14;4;4;8;4;6;2;2;6;4;8;6;4;6;6;0;4;4;4;4;2;0;2;6;2;8;4;2;4;14;4;2;0;2;8;12;4;0;0;2;0;0;2;4;0;2;6;2;4;0;0;0;0;4;2;4;2;2;0;4;0;4;2;0;2;2;10;2;0;2;0;0;0;0;0;2;6;0;0;2;0;8;0;0;0;0;0;2;2
spoke;0;0;0;0;0;0;0;0;0;6;0;12;0;0;4;12;0;10;10;0;2;0;16;0;0;0;0;2;0;0;2;0;0;10;0;0;12;12;0;10;2;0;2;0;4;0;2;0;0;2;4;0;0;0;0;16;8;2;6;4;0;4;0;0;0;2;4;0;0;0;2;2;0;0;0;0;2;2;6;0;6;0;0;0;4;0;0;2;2;0;4;0;0;0;0;0;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;4;6;6;2;4;6;6;8;8;8;4;4;10;2;8;4;2;2;6;2;0;4;0;6;2;6;0;2;4;2;0;2;0;0;2;0;0;2;0;2;2;0;0;2;2;2;0;0;4;2;2;2;0;0;4;2;6;2;0;0;0;4;6;0;2;2;2;2;8;0;0;0;2;2;4;0;4;0;2;0;2;0;2;0;2;0;0;0;2;2
business;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;4;0;0;2;4;0;8;4;2;14;4;4;6;2;0;0;0;0;6;0;0;4;0;2;2;2;2;2;0;2;0;4;6;0;4;0;14;2;0;0;4;2;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;0;2;6;0;0;0;0;4;0;6;2;0;0;0;2;2;0;0;0;0;0;0;4;4;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;12;6;2;6;6;4;4;2;4;4;0;10;6;0;10;4;0;4;2;0;8;6;8;4;6;2;10;0;0;2;6;2;0;0;2;0;2;0;10;4;2;0;2;4;2;4;2;0;6;4;0;2;2;0;0;0;6;2;0;0;0;6;2;0;2;0;2;2;0;2;2;0;2;0;2;0;4;0;0;2;0;0;0;0
canadians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;2;6;2;2;2;0;6;4;2;2;4;2;6;4;0;0;0;2;6;0;0;4;0;0;0;2;0;4;0;0;2;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;2;4;2;2;0;2;0;0;2;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;2;0;4;0;4;8
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;0;4;0;0;0;2;2;0;2;2;0;0;4;0;0;0;0;0;0;2;0;0;2;4;0;4;2;0;0;0;4;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0;2;4;4;0;2;0;4;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;0;0;8;2;8;4;4;6;0;6;4;2;6;4;6;0;0;2;0;2;4;6;4;2;0;0;2;4;4;12;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;2;6;2;4;0;4;2;0;4;0;4;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;6;4;0;4;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;0;0;0;4;4;2;2;2;6;0;2;6;4;0;6;4;4;4;10;0;6;0;0;4;0;0;0;0;0;2;2;0;0;2;0;4;6;2;2;4;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;8;2;2;0;2;0;2;0;2;2;2;0;2;2;0;0;0;2;2;2;0;2
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;4;0;8;14;16;2;8;18;2;8;2;0;0;6;0;0;0;18;0;6;0;4;0;4;4;6;6;0;0;0;0;0;6;4;0;0;0;0;0;2;4;0;0;4;4;2;0;4;0;2;0;2;2;0;4;2;2;0;0;0;0;2;2;6;2;0;0;0;2;2;0;0;0;0;4;0;0;0;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;8;2;6;4;2;6;8;2;6;0;2;0;2;2;2;2;6;2;0;0;2;0;0;0;0;2;4;2;4;0;0;2;0;4;2;0;2;4;0;4;0;4;0;2;4;2;4;0;0;0;0;0;2;0;2;2;2;0;4;0;0;2;2;0;0;0;0;2;6;0;0;0;0;4;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;2;2;0;2;0;2;2;4;0;4;2;4;4;4;0;2;0;0;2;0;4;0;0;0;2;0;2;0;4;0;2;6;4;0;10;2;0;2;0;0;2;0;0;0;0;0;2;6;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;4;4;0;6;0;0;0;0;0;0;2;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;6;4;2;6;2;2;2;0;4;0;2;4;2;2;2;0;0;0;2;0;6;8;0;0;4;0;2;0;2;0;4;0;2;2;4;4;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;2;2;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;2;0;0;0;4;0;2;0;2;0;2;0;2;2;2;0;2;2;2;2;6;2;4;0;0;4;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;4;0;2;2;0;6;2;0;0;2;2;0;0;2;2;0;2;4;0;0;0;0;8;2;0;0;0;0;2;0
countries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;2;4;0;4;0;2;0;2;0;8;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;6;6;0;4;6;0;0;0;0;0;2;6;2;0;0;0;2;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;4;6;4;4;0;0;0;6;0;0;4;0;2;2;2;0;0;2;2;4;2;4;0;0;2;8;2;0;0;6;0;0;0;0;0;0;4;0;0;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;6;2;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;4;2;0;4;4;2;2;4;0;0;0;4;0;4;0;0;0;2;6;4;4;0;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;2;0;2;0;4;0;0;0;0;4;0;2;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;4;2;2;6;0;0;0;4;0;4;0;0;0;4;8;4;6;0;0;0;0;2;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;2;0;4;0;2;0;0;4;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;6;0;0;0;0;2;2;2;0;0;0;2;0;4;4;0;6;0;8;0;0;0;6;0;0;4;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;8;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;6;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;22;0;2;0;0;2;0;2;8;2;2;2;2;0;0;2;2;2;4;2;0;0;0;4;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;4;0;0;0;14;0;0;0;4;0;0;2;0;6;0;0;0;0;0;4;4;0;0;0;0;0;0;4;0;0;0;4;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;6;2;0;0;0;2;2;0;2;0;0;4;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;10;0;2;2;0;2;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
steps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;8;2;2;2;2;0;0;2;2;2;4;2;0;0;0;2;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;2;0;2;2;2;0;2;2;0;4;0;0;0;2;0;2;2;0;4;0;0;2;2;2;0;2;2;0;2;0;2;4;0;0;2;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0
seniors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0
global;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;4;6;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;4;0;4;6;0;4;2;0;0;0;2;0;2;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;6;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;4
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;8;0;0;0;4;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;4;0;0;0;2;0;0;0;2;0;0;0;2;2;6;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;4;0;8;0;0;0;2;0;2;2;2;0;2;2;0;0;2;0;0;0;0;0
talked;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;2;0;0;0;0;2;0;0;0;0;4;8;4;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;6;0;4;0;0;0;4;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0;2;2;0;0;2;6;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0
prime_minister;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;6;2;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0
provinces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;18;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;2;2;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0
able;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;4;0;0;4;4;0;0;0;0;0;0;0;4;0;6;0;0;0;2;0;2;0;2;2;0;0;0;0;0;4;0;2;0;0;2;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;2;0
keeping;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;4;2;4;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;4;2;0;2;2;2;2;2;0;2;0;0;0;0;2;0;2
#canadahomeworkhelp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;2;0;0;8;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
difficult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
territories;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;2;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0
