;canadians;trudeau;justin;conservatives;letting;canadas;help;canada;pandemic;parliament;trudeaus;celebrating;programs;country;canadian;liberals;work;world;weak;month;behalf;women;covid19;thank;across;support;liberal;stand;live;workers;falling;businesses;democracy;house;struggling;firearms;health;government;best;hong;communities;crisis;people;everyone;lives;promised;forget;govt;marks;cant;fighting;law;shut;policy;cracks;wish;lost;kong;party;fix;nothing;approved;questions;heritage;service;security;deserve;anniversary;honour;fraudsters;beijings;cerb;commons;remember;wishes;men;freedom;failures;still;hes;crash;farmers;role;instead;allowed;solutions;democratic;entire;questioning;concerns;voice;happy;hold;criminals;may;economy;dangerous;opposition;medical;brave
canadians;0;52;36;26;36;10;18;6;10;10;12;12;10;10;6;8;6;8;8;10;8;8;8;0;6;10;8;2;6;4;10;4;4;8;10;0;6;4;6;2;2;2;8;6;2;4;4;2;8;4;6;0;8;2;8;4;4;2;0;8;4;4;4;6;2;2;4;4;2;8;2;6;6;6;6;4;4;6;8;4;2;0;2;4;4;6;2;2;4;2;4;2;6;0;6;2;0;2;4;4
trudeau;0;0;48;22;44;4;22;4;10;16;4;0;10;6;10;10;2;4;2;2;0;6;4;0;4;10;8;4;8;10;8;4;6;8;10;8;4;8;0;4;2;0;8;0;0;8;0;4;0;4;6;2;8;4;8;0;0;4;0;8;2;2;8;0;4;4;6;0;0;6;4;2;6;0;2;0;0;4;6;8;0;4;4;8;6;6;2;0;2;2;2;0;6;4;4;4;4;4;4;0
justin;0;0;0;12;32;4;6;4;8;10;8;0;4;2;4;4;2;2;4;0;0;2;2;0;0;8;8;2;2;6;2;2;4;4;4;4;0;4;0;2;2;2;2;0;0;2;0;0;0;2;6;0;6;2;2;0;0;2;0;0;0;0;6;0;0;2;2;0;0;0;2;0;4;0;0;0;0;4;2;8;0;2;2;2;6;2;2;0;2;0;0;0;2;2;0;2;2;4;4;0
conservatives;0;0;0;0;12;16;12;2;4;4;4;8;4;2;4;4;6;4;2;4;12;0;0;2;2;6;4;6;6;6;2;4;2;4;2;2;4;4;4;4;6;2;0;4;4;2;2;0;6;0;4;4;0;4;2;4;4;4;0;0;0;0;0;4;4;4;2;4;2;2;2;6;2;4;4;0;2;2;0;2;0;2;2;2;2;2;0;0;4;4;2;2;2;2;0;0;2;2;2;0
letting;0;0;0;0;0;2;12;4;4;12;4;0;10;4;4;2;2;2;2;2;0;2;0;0;2;2;4;2;4;6;8;4;2;2;6;0;2;4;0;0;0;0;4;0;0;6;0;0;0;0;4;0;4;2;8;0;0;0;0;4;0;0;4;0;0;0;4;0;0;6;0;0;2;0;0;0;0;0;4;8;0;0;2;2;2;4;2;0;2;0;2;0;4;0;2;0;0;4;2;0
canadas;0;0;0;0;0;0;0;0;4;0;0;10;2;2;0;0;4;4;0;6;12;0;0;4;0;2;4;2;0;2;0;2;2;0;0;0;0;2;6;4;4;2;0;6;2;2;2;0;6;0;0;2;0;4;0;4;2;4;0;0;0;0;0;6;4;2;0;0;6;0;2;0;0;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
help;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;6;0;0;0;2;0;2;0;0;0;6;2;2;2;8;6;2;0;0;8;0;2;0;0;0;2;0;4;0;0;6;0;2;0;2;2;0;0;0;6;0;2;0;0;6;0;0;0;0;0;2;0;0;0;6;0;4;0;0;0;0;0;0;4;0;0;2;0;4;0;6;0;0;0;0;0;0;2;0;4;0;0;0;0;0
canada;0;0;0;0;0;0;0;0;4;2;0;2;0;2;4;0;0;6;0;0;0;0;4;2;2;0;2;4;0;0;2;0;0;0;0;0;4;2;2;0;2;0;2;2;4;0;0;0;0;0;2;4;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;4;0;0;0;2;4;0;0;0;0;0;0;2;0
pandemic;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;2;4;0;0;0;2;0;6;4;4;4;6;0;0;2;0;2;0;0;2;4;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;2;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0
parliament;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;4;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;2;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0
trudeaus;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;8;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;0;4;0;2;0
celebrating;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;6;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;8;0;0;2;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;4;6;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
programs;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0;0;2;0;0;0;0;2;0;0;0;0;4;6;8;0;2;0;0;4;0;0;0;0;0;4;0;0;6;2;2;0;2;0;0;2;0;6;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;4;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;12;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;2;2;4;0;0;0;0;2;0;0;0;0
canadian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;4;0;0;0;2;0;0;6;4;4;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0
liberals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;4;2;4;2;4;2;2;0;0;0;0;0;2;2;0;0;6;0;4;0;0;0;0;4;2;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;2;0;2;0;0;0;0;4;0;0;2;0;2;2;0;0;6;2;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;4;0;2;2;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;2;0;2;0;2;2;0;4;0;0;2;4;2;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2
weak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
month;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
behalf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;2;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
women;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;2;0;2;0;8;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;4;2;0;0;0;2;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
liberal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
stand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;6;4;2;0;0;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
falling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;4;0;0;4;0;0;0;0;2;0;2;0;10;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
democracy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;2;2;2;0;2;0;0;0;0;2;0;0
struggling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0
firearms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;4;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;4;2;0;2;0;6;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;4;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
promised;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0
forget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;6;4;0;0;0;0;2;0;4;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6
govt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
