;toronto;police;city;thank;budget;todays;motion;community;covid19;crisis;housing;work;homelessness;policing;support;pride;health;pandemic;please;people;love;province;new;#communitycare;fountains;friends;@gordperks;mayor;safe;10;staff;without;eblast;big;defund;park;trans;happy;@bathroomfaun;help;service;services;year;parks;cant;emergency;end;black;racism;st;washrooms;premier;says;#covid19;food;@fordnation;living;public;call;board;w;residents;report;provincial;different;family;goes;money;great;shoutout;full;thousands;free;good;2;information;together;council;construction;weekend;women;cut;statement;take;immediately;everyone;alternatives;communities;care;antiblack;ford;action;mark;kind;unit;@joshmatlow;mental;tonight;still;federal
toronto;0;14;16;2;8;6;8;4;4;6;8;4;8;6;2;0;4;2;4;2;0;10;2;0;2;0;4;0;6;4;4;6;6;2;4;4;0;0;2;6;4;4;0;2;2;6;6;2;4;0;0;6;2;4;0;2;2;2;2;2;4;2;2;6;4;0;0;4;0;0;2;6;0;2;6;2;0;4;4;2;0;4;2;0;4;0;2;0;0;4;2;2;4;0;0;0;0;2;0;4
police;0;0;10;4;24;4;12;6;2;4;2;2;0;12;6;0;4;0;2;2;0;2;2;0;0;0;2;6;2;12;0;0;4;2;14;0;0;0;0;4;8;2;0;0;0;0;0;8;4;0;0;0;4;0;0;0;0;4;6;4;0;2;4;2;4;2;0;8;0;0;6;8;0;0;2;2;0;2;2;2;0;6;2;2;2;0;8;4;0;2;2;2;2;0;2;4;2;2;0;0
city;0;0;0;2;10;10;8;6;6;4;2;4;4;4;2;2;2;2;6;6;2;6;4;2;4;2;6;2;4;4;6;2;4;2;4;4;2;0;4;2;4;4;0;2;0;0;0;4;2;2;4;0;2;0;2;0;0;2;2;2;4;10;2;2;4;0;4;2;2;2;2;4;2;0;4;4;0;10;2;0;0;2;2;0;2;2;2;0;2;2;0;0;2;0;2;0;2;4;2;4
thank;0;0;0;0;2;8;0;4;2;2;2;4;2;0;2;6;2;4;0;0;2;0;0;8;0;2;0;0;2;0;0;0;2;4;0;0;0;2;0;0;4;0;2;0;2;0;0;2;2;0;0;0;0;4;2;0;2;2;0;0;0;2;0;0;2;0;4;2;4;4;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;2;2;4;2;0
budget;0;0;0;0;0;2;14;4;2;2;2;2;0;8;2;0;2;0;2;2;0;2;2;0;0;0;2;6;0;12;0;0;2;2;6;0;0;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;6;0;4;4;2;2;0;0;4;0;0;2;4;0;2;0;0;0;2;0;0;0;8;2;2;2;0;4;2;0;2;2;2;0;0;0;2;0;0;2;0
todays;0;0;0;0;0;0;4;6;10;4;0;4;0;0;2;4;4;0;6;4;0;4;4;12;0;6;0;0;8;0;0;0;16;4;2;0;0;2;0;4;0;4;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;12;0;6;8;2;0;6;2;6;6;0;0;0;6;0;0;0;2;0;4;0;0;4;2;0;0;0;0;2;0;2;0;2;0
motion;0;0;0;0;0;0;0;4;2;2;0;4;2;6;10;0;2;2;4;2;0;6;2;0;0;2;0;4;0;8;0;2;4;2;10;0;0;0;0;2;4;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;8;0;2;6;2;0;0;0;2;0;0;0;0;0;2;2;2;0;4;0;0;0;2;0;0;6;0;4;2;0;2;0;0;0;0;0;4;0;0;2;4
community;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;2;0;2;0;6;0;2;4;4;0;2;0;0;2;0;0;0;0;2;4;0;0;0;0;2;4;2;0;0;0;2;0;2;0;4;2;2;2;4;4;2;0;2;0;4;0;2;2;0;0;2;4;6;0;4;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0
covid19;0;0;0;0;0;0;0;0;0;8;2;4;4;0;0;0;8;0;2;2;0;0;6;6;4;4;2;0;2;0;2;4;4;2;0;0;0;0;4;0;0;2;0;2;0;0;0;2;2;4;4;0;2;0;0;0;2;2;0;0;4;6;0;2;0;0;2;0;0;4;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;2;2;0;2;0;2;0;2;2
crisis;0;0;0;0;0;0;0;0;0;0;6;2;6;0;2;0;8;4;2;2;0;4;0;2;0;4;2;0;0;0;0;6;2;0;0;2;0;0;0;2;0;4;0;0;2;2;4;2;2;0;0;2;4;0;0;4;2;4;2;0;6;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;4;0;0;2
housing;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;4;2;2;8;0;2;0;0;0;0;0;0;0;2;4;8;0;0;0;2;0;0;0;2;0;4;0;0;2;2;6;0;2;0;0;4;4;0;2;4;6;0;0;0;4;2;2;6;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;2;4;4;2;2;2;0;6;0;2;0;0;0;0;0;4;0;6;0;4;2;0;0;2;0;4;0;0;2;2;4;0;0;2;2;0;0;0;2;4;0;0;0;0;0;0;0;4;2;0;4;0;0;6;0;4;2;0;0;2;4;2;0;0;2;0;0;4;4;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2
homelessness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;0;6;0;0;0;2;4;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;0;0;2;4;10;2;2;0;0;2;2;2;0;4;2;0;2;0;4;2;0;8;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;6;0;0;0;0;2;2;4;2;0;0;0;2;0;0;6
policing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;6;0;6;0;0;0;2;10;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;8;2;0;0;0;0;0;0;0;2;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;0;2;0;4;0;2;0;0;2;4;8;2;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;2;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;2;4;2;0;0;0;0;0;0;2;2;0;0;0
pride;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;6;8;0;0;2;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;2;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;6;0;4;0;2;0;8;2;2;0;0;4;0;0;8;0;0;4;0;4;4;0;2;0;2;0;4;2;4;0;0;0;2;8;2;0;4;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;2;0;2;0;8;0;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;4;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;2;2;6;0;2;4;6;2;0;0;0;2;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;6;2;2;2;0;2;0;0;0;6;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;2;2;0;2;4;4;0;0;0;2;2;2;2;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;4;2;2;0;0;0;0;4;0;6;0;0;2;6;8;0;0;0;0;2;0;2;0;6;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;4
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;0;2;0;0;0;0;0;2;0;4;0;2;2;4;0;0;0;0;2;0;2;0;0;0;2;0;2;0;4;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;4;0
#communitycare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;10;0;2;10;0;0;6;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
fountains;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;10;2;0;0;0;2;0;0;12;0;0;0;0;8;4;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
friends;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;6;0;2;4;2;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2
@gordperks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;8;0;0;0;0;4;2;0;2;2;0;0;2;0;0;0;0;0;0;4;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;2
mayor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;4;2;0;0;2;0;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0;0;2;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;6;0;0;0;0;6;0;0;0;2;0;2;0;2;2;0;0;0;0;4;0;0;0;2;2;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;2;0;4;2;0;0;2;0;0;0;0;2;0;0;2;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;0;0;0;6;4;0;0;0;2;0;6;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0
without;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;2;2;4;0;0;0;2;2;2;0;0;2;4;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
eblast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;6;2;0;0;0;6;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
defund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;6;2;0;0;0;0;0;0;0;4;0;0;0;0
park;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;4;4;2;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0
trans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0
@bathroomfaun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;2;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;6;0;0;4;0;0;0;0;2;2;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;4;2;2;0;2;0;2;0;0;2;0;0;2;0;0;2;4;2;2;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0
parks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2
black;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
